statement,actual_verdict,model_verdict
"""Bennie Thompson actively cheer-led riots in the ’90s.""",False,False
"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",True,True
"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",False,False
"""There are actually only 30 countries that practice birthright citizenship.""",True,True
"""My husband and I have never gotten a penny of money from the farm.""",False,False
"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",True,True
"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget.""",True,False
"""Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.""",True,True
"""Pot today is not the weed baby boomers were smoking.""",True,True
You may have driven the length of a football field in the five seconds it takes to check a text.,True,True
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",False,False
"Says Socrates said, ""When the debate is lost, slander becomes the tool of the losers.""",False,False
"""America used to be the third easiest country to get established in a business. It's now number 17.""",False,False
"""Republicans want to restore #gunrights to felons""",True,True
"""ISIS is in 32 countries.""",True,False
"In manufacturing, ""I brought back 700,000 jobs. (Obama and Biden) brought back nothing.""",False,False
"When Roy Barnes was governor, ""Georgia created 235,000 jobs.""",True,True
"Says the Congressional Budget Office ""is expecting a protracted economic malaise for at least the next decade under current policies.""",True,True
Wisconsin was the last state to start paying COVID-related federal unemployment benefits.,True,False
"The expanded child tax credit in the Build Back Better Act has ""no means testing,"" so people making $200,000 and $400,000 would get ""the same as someone making"" $70,000.",False,True
"""22 Countries Invaded by the U.S. in 20 Years.""",False,False
"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",True,True
Says actor Mike Mitchell died because of a COVID-19 booster shot.,False,False
"Under a proposal by Rep. Paul Ryan, people on Medicare will only have $15,000 from the federal government to spend on their health care.",False,True
"""We've just now given over $100 billion"" to Iran, ""the equivalent in U.S. terms is $5 trillion.""",True,False
"""CDC COVID-19 survival rates"" are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",False,False
"""Europe and U.S. households waste 15 times more food than a person in Africa.""",True,True
Says Central Texas river water sent to downstream rice farmers in 2011 equaled about three years’ worth of Austin’s water use.,True,False
"The health care law is ""the largest tax [increase] in the history of our country""",False,False
"Says John F. Kennedy said, ""What if we go to heaven and we, all our lives, have treated the Negro as an inferior, and God is there, and we look up and He is not white? What then is our response?""",False,False
"Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'""",False,True
"Recent solar energy policies in Georgia ""have resulted in rate hikes and did not result in solar becoming any more economically viable.""",False,True
"Says there were only ""about eight or 10"" inflammatory sentences in his newsletters.",False,True
"Says Charlie Crist's campaign bashed Sen. Bill Nelson's ""big-government solutions.""",False,True
"""Black Lives Matter is a terrorist organization.""",False,False
"Zika mosquitoes ""can’t catch me.""",True,True
Video shows man mocking police in Germany.,False,True
"The city of Brookhaven’s ordinance could cause the Pink Pony to close, thereby ""putting 300 Pink Pony employees out of work in this economy.""",True,True
"""The Supreme Court ruled that border agents can enter anyone’s home within a 100-mile radius of the border without a warrant for any reason and federal courts cannot do anything about it.""",False,False
"Florida's economy ""became a bad economy ... because of a huge spike in oil prices in the summer of 2008.""",False,True
"Says Donald Trump supports ""an agenda out there"" to privatize the Veterans Affairs health care system.",False,True
"""From 1917 to 1994, half of the bills that were successfully filibustered in the Senate were civil rights legislation.""",True,False
"A study ""suggests that even after two years of hormone therapy, biological boys still maintain significant advantages over girls, including being 12% faster on the 1.5-mile run.""",False,False
"""More private-sector jobs were created in the first eight months of 2010 than in the eight years of the Bush administration.""",True,False
"Says Barack Obama's health care law ""will be the biggest job-killer ever.""",False,True
"""Vagina. Because apparently, saying that word in the Michigan State House of Representatives can get you a two-day ban from speaking on the floor.""",True,True
"""Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.""",False,False
"Terry McAuliffe ""wants to raise your taxes $1,700 to pay for his infinite promises.""",False,False
"""Thousands of Westerners and Americans"" are fighting with extremists in eastern Syria and Iraq.",True,True
"Says Ron Johnson said Americans should go back to work, because ""death is an unavoidable part of life.""",True,True
"""Hillary interned with Bob Treuhaft, the head of the California Communist Party.""",False,True
"Says Texas gained 21,000 doctors due to tort reform.",False,True
"""Our ranking in terms of the best and worst states to do business in was 43 four years ago, and we just moved up to 17 two weeks ago.""",True,True
"California’s Prop 55 ""prevents $4 billion in new cuts to our schools.""",False,True
"Says that under Rick Perry’s plan, ""Texas has cut funding for public schools by 25%.""",True,True
"The Obama administration is ""cutting back on defense""",True,True
"The Democratic health care plan is a ""government takeover of our health programs.""",False,False
"Democratic candidate Jeff Greene ""ran for Congress as a California Republican.""",True,True
"""122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield.""",False,False
"""Republicans enacted the most drastic cuts to K-12 public schools of any state in the nation.""",False,True
"""In 2009, his first year as mayor,"" Julián Castro ""received a seven-figure referral fee"" that smells like a dirty financial gift ""from notorious personal injury lawyer Mikal Watts, a major Obama donor.""",False,False
"Mark Warner cast ""the tiebreaking vote"" to pass Obamacare.",False,False
"A statewide poll showing 76 percent support and other surveys are a ""strong indicator"" of  broad public support in Milwaukee County for a $10.10 minimum wage",True,True
"Says news stories referencing 322 and COVID-19 are proof cases are being ""synchronized""",False,False
A photo of a homeless camp on old railroad tracks is present-day Los Angeles.,False,True
"Says Adam Sandler said ""Mormons are some of the most decent people I’ve ever come across.""",False,True
Says he and Mitt Romney agreed on tying minimum wage increases to inflation.,True,True
"""U.S. taxpayers are being forced to fund Feisal Abdul Rauf’s trip to the Middle East.""",True,True
"""We’ve been down this road before—blanket protectionism is a big part of why America had a Great Depression.""",True,False
All the talk about socialism during the campaign made young people more interested in it by Election Day.,False,False
Says Democrats cut $35 million from the state budget for Information Technology improvements.,False,False
John Paul Stevens is the only Protestant on the U.S. Supreme Court.,True,True
"""Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas.""",False,True
"Forty-five percent of doctors ""say they'll quit"" if health care reform passes.",False,False
"Says Donald Trump is ""the first person running for president, Republican or Democrat, who refused to say that he would respect the results of this election.""",True,True
"Says a Texas Senate committee considering ""private school voucher"" legislation randomly called people to testify regardless of when the people submitted requests to testify.",True,False
"Says New York Democrat Jenna Tull was recorded saying, ""Americans should be euthanized when they hit 70. They just become too dumb….and think of the money we’d save!""",False,False
"The Orlando shooter used ""a weapon of war.""",True,True
"Says Republican Gov. Phil Scott ""just voted to impeach President Trump.""",False,False
"""No Bridge to Nowhere could occur.""",False,True
"""Over 65% of the country believes that (the) 2020 election was fraudulent. That number was around 35% a year ago.""",False,False
"""Paul Workman wants to raise the sales tax.""",False,True
"The state constitution ""clearly says there’s not to be a state income tax in Tennessee.""",False,False
"""My 7-step plan"" creates 700,000 jobs in 7 years.",True,True
"""During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.""",True,True
"Says Denzel Washington left the Democratic Party because he’s ""had it with the lies.""",False,False
"""This issue of busing voters in to New Hampshire is widely known by anyone who’s worked in New Hampshire politics. It’s very real, it’s very serious.""",False,False
"""Over 200 of our 520 school districts did not have a single student in physics.""",False,True
"""Job losses are so certain under this new cap-and-tax plan that it includes a provision accommodating newly unemployed workers from the resulting dried-up energy sector, to the tune of $4.2 billion over eight years. So much for creating jobs.""",True,True
"The U.S. ""tax rate on successful small businesses is 44.6 percent,"" while the business tax rate in Canada is 15 percent.",True,True
"""Since the beginning of the economic downturn in FY 2008, the state workforce has been reduced by 12.4 percent as part of overall cost savings measures to balance the budget to reduce revenues.""",False,False
"""We bring in enough tax revenue to service our debt, pay for Medicare and Medicaid and Social Security, and then still have about $300 (billion) or $400 billion left over.""",True,False
"Says ""Kamala Harris is not able to be VP. Because she's a felon. She lied on her application to buy a gun here in CA.""",False,False
"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",True,True
"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",False,True
"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",False,False
"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",True,True
"""At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""",False,False
"""More than 70 percent of American adults have committed a crime that could lead to imprisonment.""",True,True
"Tampa Bay is ""leading the state in jobs creation.""",False,False
"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",False,False
"""Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.""",False,False
"Says Donald Trump ""literally has no plans to make higher education more affordable.""",True,True
"Post says a recent bill passed, and ""We get another stimulus check for $2500 at July 30, 2021""",False,False
"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",False,False
"Says he is ""cutting illegal immigration in half.""",False,False
"""There is racism physically built into some of our highways.""",True,True
"Austin has ""over 1,000 city employees that make six-figure salaries.""",True,True
"Says John Bolton ""fundamentally was a man of the left.""",False,False
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",False,False
Says he lived in a colonia while working as a farm worker.,False,True
"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases.""",True,False
"""75% of Republicans have been vaccinated"" against COVID-19 in Illinois.",False,False
"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""",True,True
"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the ballot.""",True,True
"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",True,True
"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""",False,False
"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",True,True
"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""",True,True
"On new dollar coins, ""'In God We Trust' is gone!""",False,False
"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",False,True
"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during the pandemic.",True,True
"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""",True,True
"""This year, the federal government will have more revenue than any year in the history of our country.""",True,True
Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.,False,False
"""59 percent of Americans today believe that Barack Obama is still a Muslim.""",False,False
The average age of planes in the Qatar Airways fleet is about four years while Delta Air Lines flies planes that are 35 years old.,False,False
"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",True,False
"""Whether you like to admit it or not, half our general revenue goes to education.""",True,False
"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",True,True
Darryl Hicks had seven ethics violations and didn't pay most of the fines.,True,False
"""The word progressive ... was created as a substitute for ‘communist’.""",False,False
"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",True,True
"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",False,False
Says Obama flip-flopped on banning handguns.,True,False
"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan.",False,False
"""You can go to Georgia and make about $6,000 more a year as a teacher.""",True,True
"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",False,True
A photo of a burned cat is from the Australia wildfires.,False,False
"Says Beto O’Rourke is ""open to abolishing ICE.""",True,True
The minimum wage has risen $2.35 in the last two years. That's 31 percent.,False,False
There is no ‘backlog’ of untested rape kits in Wisconsin.,False,False
"""There are 63 million abortions a year in this country.""",False,False
"Ted Cruz is ""unknown to the vast majority of Texans.""",False,True
"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",True,True
"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",True,False
"A wind turbine ""could never generate as much energy as was invested in building it.""",False,False
"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",False,False
"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling California fire fighters.""",True,False
"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",False,False
"""I saw my father march with Martin Luther King.""",False,False
"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",True,True
"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""",False,False
"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.""",False,False
"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""",False,False
"Monkeypox is biological warfare ""against us by our governments.""",False,False
"""A Florida judge ruled parts of Obamacare unconstitutional.""",True,True
"""So far this year, more students have been killed in schools than soldiers in combat zones.""",True,True
"Say Nancy Pelosi’s net worth is $196,299,990.",False,False
"The budget currently being debated ""significantly decreases the use of one-time resources.""",True,True
"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",False,False
"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",False,False
"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",False,True
"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",False,True
"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",False,False
"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""",True,True
"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""",False,False
"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",False,True
Suzanne Bonamici votes with her party a partisan 98 percent of the time.,True,False
"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born.",False,False
"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter.""",False,False
"""DEP has 2,812 employees, the lowest level since the mid-’80s.""",True,True
"The IRS is ""going to be in charge of our health care.""",False,False
"""I've taken on the federal government and won.""",True,True
"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.""",True,True
"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",False,False
"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",False,False
"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""",True,True
"""Registered Republican not allowed to vote.""",False,False
"Says Bernie Sanders ""is the most popular politician in America today.""",True,True
"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",True,False
"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",False,True
"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""",True,True
"""Obamacare takes $500 billion out of Medicare and funds Obamacare.""",True,True
"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",False,True
"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",False,True
"Twenty million Americans are ""out of work.""",True,True
"""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""",True,True
"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",False,False
"Texas is ""50th in the nation in mental health care access.""",True,True
"Quotes Ronald Reagan as saying, ""Keep voting Democrat ... One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.""",False,False
"""Nobody's addicted to"" marijuana.",False,False
"""It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.""",True,True
"Says that ""unlike Texas, Missouri has a perfect AAA credit rating.""",True,False
"Democrats in the 1930s wanted President Franklin Roosevelt ""to be more conservative.""",True,True
"""Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.""",False,False
"""The president has exploded the debt by more than $3 trillion — all to give billion-dollar tax cuts to the wealthiest few.""",True,False
"Says Sen. Luther Olsen, his recall opponent, supported the sale of state-owned power plants ""not to the highest bidder, but to the biggest donors"" with no oversight.",False,True
"""Ford is moving all of their small-car production to Mexico.""",True,True
"""At least 10 ISIS fighters have been caught coming across the Mexican border in Texas"" and there are ""dozens more that did not get caught by the Border Patrol.""",False,False
"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states.",True,True
"Says Joe Biden’s Democratic National Convention speech ""had to be taped in segments, and the segments had to be edited together.""",False,False
"""Military arrests former President George W. Bush.""",False,False
"Says 50 percent of millennials don’t associate with ""any political party.""",True,False
"""In the last two years, I have supported and proposed $155 billion worth of targeting cuts. Dr. Gingrey has presented zero.""",True,True
Says Mitt Romney asked for a waiver from federal welfare rules.,False,False
"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",True,True
"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""",False,False
"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",True,True
"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",False,True
"""Of the states that have a lieutenant governor, many are currently discussing the need for such an obsolete office.""",False,True
"David Dewhurst has a ""record of promoting an income tax.""",False,True
"""No doctors who went to an American medical school will be accepting Obamacare.""",False,False
"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.""",False,False
"""The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.""",False,False
Seventy-five percent of the young adults in this country are not mentally or physically fit to serve.,True,True
Says Barack Obama has played over 90 rounds of golf as president.,True,True
"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",True,True
"""We've done more tests in eight days than South Korea has done in eight weeks.""",False,False
"George Allen ""voted to end Pell Grants for 84,000 students.""",True,False
"The DREAM Act the ""would give amnesty to over two million illegal aliens.""",False,True
"""I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,""",False,False
"Barack Obama voted against ""born alive"" legislation in Illinois that was ""virtually identical to the federal law.""",True,True
"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",False,True
"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",False,True
Photo shows Kim Jong Un’s weight loss,False,True
"""How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?""",False,False
"Says Jonathan Gruber was ""some adviser who never worked on our staff.""",False,False
"""Barack Obama's nominee for 'regulatory czar' has advocated a 'Fairness Doctrine' for the Internet"" that would require links to opposing opinions.",True,True
"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, ‘This plant kills.’""",True,True
"Says Gov. John  Kasich incorrectly claimed Ohio’s economy was 38th in the nation when he took office. ""We were sixth in the nation in terms of economic job growth.""",False,False
"""Out of 860 bills (Sen. Bill Nelson has) introduced in Congress, only 10 have passed.""",False,False
"Ryan Sitton’s company ""accepted over $650,000 in Obama stimulus dollars.""",False,True
Says withdrawing troops from Afghanistan could save the U.S. $50 billion.,False,True
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",True,False
Says Fox News gave Republican senators twice the air time as Democrats during a hearing about the Islamic State.,True,False
"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",True,True
"Says the photo ID law passed by North Carolina lawmakers is ""one of the nation’s most lenient voter ID laws.""",False,False
"Says ex-Lt. Gov. Evelyn Sanguinetti ""publicly did not stand in opposition to"" former Gov. Bruce Rauner’s decision to sign a bill that expanded the public funding of abortions in Illinois.",False,True
"""Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.""",True,True
"""We have been confronted with an unexpected storm that has hit the metropolitan area.""",False,True
"""Taxpayers even footed the bill for Perry’s trip to a bachelor party in Las Vegas.""",False,True
"""More than half of all black children live in single-parent households, a number that has doubled — doubled — since we were children.""",True,True
"""I've traveled the country advocating for the FairTax ...""",False,True
"Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",True,True
"The United Nations’ ""new world order"" agenda will create one world government with one world military and the end of national sovereignty.",False,False
"Says Barack Obama has ""the worst record of any president when it comes to putting America deeper in debt.""",True,False
"""The price tag amounted to nearly $4,200 for every man, woman and child in the state.""",False,False
"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",True,True
"Voting-rights legislation proposed by Democrats in Congress called H.R. 1 ""would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.""",True,False
"Says signers of recall petitions against Wisconsin Gov. Scott Walker are at risk because of newly ""discovered"" provisions in state law.",False,False
"Says Sarah Huckabee Sanders tweeted, ""It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?""",False,False
"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American.""",False,True
"Chinese workers made ""90,000 banners"" for Trump’s 2020 re-election campaign and the president chose to hire ""Chinese workers instead of American workers""",False,True
"Raising the national minimum wage to $15 per hour ""would destroy up to 3.7 million jobs.""",False,True
